asset_date,vcoin_id,currency,币种状态,开盘时间,官网,合约地址,official_twitter,family,chain_id,dex_chain_id,chain_source,chain_status
2026-05-31,f10676d999bc489896c9c712162fb554,STAY,正常,2026-04-27 19:00:00,https://www.staynex.vip/,0x30C0ef9361645ec56a7e640CD05ce6aBdFce8422,https://twitter.com/staynexcom,evm,56,56,goplus_probe,goplus_symbol_match
2026-05-31,f4bd9196c2e241fe803b68188ff9cde0,XRPHAI,正常,2026-04-27 18:00:00,https://xrphealthcare.ai,5852504841490000000000000000000000000000,https://x.com/XRPHealthcare,other,,,,
2026-05-31,e4c0cd4346304057aa3b1e03875f310a,NOCK,正常,2026-04-27 17:00:00,https://www.nockchain.org/,0x9B5E262cF9bb04869ab40b19AF91D2dc85761722,https://twitter.com/nockchain,evm,8453,8453,goplus_probe,goplus_symbol_match
2026-05-31,e9e2aba101064853b40f7f8d253f90dc,UPEG,正常,2026-04-26 12:30:00,,0x44b28991B167582F18BA0259e0173176ca125505,https://x.com/unipegv4,evm,1,1,goplus_probe,goplus_symbol_match
2026-05-31,84eedab25c324806957dc12f1bb12905,BLEND,正常,2026-04-24 21:08:00,https://www.fluent.xyz/,0xd8A271974E8EdAE9D7b58e3370dc1669427503F4,https://twitter.com/fluentxyz,evm,,,,unresolved_no_result
2026-05-31,e28e530e8df5425b949e24b6c2bedd93,UNGON,正常,2026-04-24 20:00:00,https://app.ondo.finance/assets/ungon,0x7C488cFc874Ca9F34e7bdBd0410C27CE6d6af5f9,https://twitter.com/ondofinance,evm,,,,missing_chain_id
2026-05-31,4b8a69a6682047e590d8607cbc218998,SOXXON,正常,2026-04-24 20:00:00,https://app.ondo.finance/assets/soxxon,0x1fE2126bC05E4BB0468C4a198e930c889e1054a3,https://twitter.com/ondofinance,evm,,,,missing_chain_id
2026-05-31,b8e63ef3e2e044688fdb58791b65d475,QBTSON,正常,2026-04-24 20:00:00,https://app.ondo.finance/assets/qbtson,0x3807562A482B824C08A564DFefcc471806d3E00a,https://twitter.com/ondofinance,evm,,,,missing_chain_id
2026-05-31,aa63453ff3ed43bb8a2ccf6246b10127,ASTEROID1,正常,2026-04-24 10:10:00,https://asteroideth.site/,0xAFF2565091E7207191dBe340B8528D02FA78d044,https://twitter.com/AsteroidCoinOG,evm,,,,missing_chain_id
2026-05-31,36f6a240d59e4df59f654b690f9cd279,KAG,正常,2026-04-23 20:00:00,https://kmslabs.money/,0x56Ba8B58B7d1f6d384A1C4dD553F39ebc8741B8e,https://x.com/KinesisMonetary,evm,,,,missing_chain_id
2026-05-31,7dc5f984be41456fbb370c0b7e7fc2db,XNT,正常,2026-04-22 20:00:00,https://neptune.io,,https://x.com/neptuneprivacy,missing,,,,
2026-05-31,6a7262c3f4d04b21a268d1bb1e2bc39a,MAGA,正常,2026-04-22 16:00:00,,Hon2rHAiqkcDtUzL5gA2vjXPr7T1MPCK2UT2AHKCpump,https://x.com/MAGA_Aliens,solana,solana,solana,address_format,
2026-05-31,9a2565d5173547018ec1955902780571,ZOOM,正常,2026-04-22 13:00:00,https://www.coinzoom.com/,0x69cf3091C91EB72DB05E45C76e58225177dEA742,https://twitter.com/getcoinzoom,evm,,,,missing_chain_id
2026-05-31,5ca445694945489d9ddc5baa8f54ee74,FLORK,正常,2026-04-22 10:20:00,,0xcE82213C4bAE42e1c04880EA64A53eEf73E195dE,https://x.com/FlorkEthOG,evm,,,,missing_chain_id
2026-05-31,317d9653abb349f0a959208b9d21f520,CHIP,正常,2026-04-21 20:20:00,https://usd.ai/,0x0C1c1C109FE34733fca54b82d7B46B75CFb71F6e,https://x.com/USDai_Official,evm,,,,missing_chain_id
2026-05-31,299be128dcd949a5ba632e18b056663f,OPG,正常,2026-04-21 20:00:00,https://www.opengradient.ai/,0xFbC2051AE2265686a469421b2C5A2D5462FbF5eB,https://twitter.com/opengradient,evm,,,,missing_chain_id
2026-05-31,d5f3378877984a1b81f06914dc6265ac,NAT,正常,2026-04-21 15:30:00,https://natgmi.com/,0x249130F5E2dD4CF278180c0dF8273f3592Ad1247,https://x.com/natgmi,evm,,,,missing_chain_id
2026-05-31,d1b3522b67cd49f089e085970b307437,RWS,正常,2026-04-20 22:00:00,,0xa226dFdD0E2168676bA13889e93c07cE3A0b4e37,,evm,,,,missing_chain_id
2026-05-31,0ab8451c63f8484fb79db879bffadfd1,PEACE,正常,2026-04-19 12:20:00,https://peacefrog.earth/,HcbsqQC3sn2LMwbjVafiEd8nJ2ATZHH2wXH4xqV2pump,https://x.com/peacefrogorigin,solana,solana,solana,address_format,
2026-05-31,8c606299ebce4c11901631846186c415,哈基米,正常,2026-04-18 17:25:00,,0x82Ec31D69b3c289E541b50E30681FD1ACAd24444,https://twitter.com/hajimi_CTO_BNB,evm,,,,missing_chain_id
2026-05-31,b27eef9a14c34a4b97a38f96952beec5,MOGU,正常,2026-04-18 16:00:00,,0x732Ef17BeCED8655a5026e7D51CFf0773774B950,https://x.com/abstractmogu,evm,,,,missing_chain_id
2026-05-31,6190fc8562c3460fb5112bb102fcef07,ASTEROID,正常,2026-04-17 21:00:00,,0xf280B16EF293D8e534e370794ef26bF312694126,https://x.com/Asteroidcto,evm,,,,missing_chain_id
2026-05-31,3d01ad49617c4eb291518833a2a5c27d,EMBLEM,正常,2026-04-16 23:00:00,https://emblemvault.ai/,6HHzBVkxtoz86Bjy2duaUw77hVfJzQkuoLizWeEMBLEM,https://x.com/EmblemVault,solana,solana,solana,address_format,
2026-05-31,a225026aeabc4b599e74e2d61da96e13,DIEM,正常,2026-04-16 17:00:00,https://venice.ai/token,0xF4d97F2da56e8c3098f3a8D538DB630A2606a024,https://twitter.com/AskVenice,evm,,,,missing_chain_id
